445	785	100.00%
453	214	720.68
453	332	200.000
454	87	$16,934.43
466	1172	AGUA
471	728	0.19%AGUA
477	214	00.0$
478	86	0000
478	333	0.380
488	975	SOLUCION DEAEROSIL200
493	529	22.15%SOLUCIONDEAEROSIL200
498	331	44.300
500	215	$106.35
501	88	$4,711.31
510	1054	LECITINA DESOYA
518	609	0.10%LECITINADESOYA
524	214	$120.00
526	334	0.200
528	89	$24.00
535	981	PARAFINA CLORADA(S-52)
542	536	0.95%PARAFINACLORADA(S-52)
546	214	$51.18
548	332	1.900
550	88	$97.24
558	953	PIGMENTO AMARILLLOOXIDO
564	507	5.93%PIGMENTOAMARILLLOOXIDO
570	215	0069
570	332	11.860
572	88	$1,174.14
581	940	CARBONATODEOMYACAR1-T
588	494	23.73%CARBONATODEOMYACAR1-T
593	215	$6.89
595	88	$327.00
596	334	47.460
604	1073	TIXOGELEZ-100
611	629	1.89%TIXOGELEZ-100
619	89	$599.77
619	218	$158.67
619	335	3.780
626	1117	EXXOLD-40
633	673	14.21%EXXOLD-40
640	216	$30.59
641	89	$869.37
641	335	28.420
649	1023	SOLUCION DERESINA
656	579	30.85% SOLUCION DERESINA
663	217	$148.00
664	335	61.700
666	91	$9,131.60
744	983	Y AMARILLO CANARIO
773	842	BASE ORGANICA AMARILLO OXIDO
780	602	KILOS
782	336	200.000
859	335	HOJA N°9
